,Level_in,Flow_gpm
675,1.344,129.540330371
676,1.345,129.761884953
677,1.348,130.427721978
678,1.349,130.650058702
679,1.35,130.872590927
680,1.351,131.095318642
681,1.352,131.318241833
682,1.354,131.764674587
683,1.355,131.988184123
684,1.356,132.211889082
685,1.357,132.435789449
686,1.358,132.65988521
687,1.359,132.884176351
688,1.36,133.10866286
689,1.361,133.333344722
690,1.362,133.558221923
691,1.363,133.783294449
692,1.364,134.008562287
693,1.365,134.234025422
694,1.366,134.45968384
695,1.367,134.685537528
696,1.368,134.91158647
697,1.371,135.590904683
698,1.372,135.817734502
699,1.374,136.271979675
700,1.377,136.954811053
701,1.378,137.182811752
702,1.379,137.411007547
703,1.38,137.639398422
704,1.381,137.867984363
705,1.382,138.096765355
706,1.383,138.325741383
707,1.385,138.784278485
708,1.386,139.01383953
709,1.387,139.243595551
710,1.39,139.934033313
711,1.391,140.164569083
712,1.392,140.395299752
713,1.393,140.626225304
714,1.394,140.857345725
715,1.396,141.320171107
716,1.397,141.551876038
717,1.399,142.015870301
718,1.401,142.480643659
719,1.402,142.713322459
720,1.403,142.946195985
721,1.406,143.645984761
722,1.408,144.113483948
723,1.41,144.581761653
724,1.411,144.816192409
725,1.415,145.755861072
726,1.416,145.991264565
727,1.417,146.226862556
728,1.418,146.462655028
729,1.419,146.698641964
730,1.42,146.934823348
731,1.421,147.171199163
732,1.422,147.407769392
733,1.423,147.644534018
734,1.424,147.881493024
735,1.427,148.593536152
736,1.43,149.307328085
737,1.433,150.022868359
738,1.435,150.500866277
739,1.436,150.740156504
740,1.437,150.979640887
741,1.438,151.219319407
742,1.44,151.69925879
743,1.443,152.420623455
744,1.445,152.902503417
745,1.448,153.62677828
746,1.449,153.868591141
747,1.45,154.110597924
748,1.451,154.352798612
749,1.452,154.595193187
750,1.453,154.83778163
751,1.457,155.810073716
752,1.458,156.053631224
753,1.459,156.297382489
754,1.46,156.541327494
755,1.461,156.785466219
756,1.462,157.029798645
757,1.464,157.519044528
758,1.465,157.763957946
759,1.466,158.009064992
760,1.469,158.745547696
761,1.47,158.991429058
762,1.471,159.237503951
763,1.472,159.483772356
764,1.474,159.976889627
765,1.475,160.223738454
766,1.478,160.965445471
767,1.48,161.460883735
768,1.482,161.957095352
769,1.484,162.454080165
770,1.485,162.702862472
771,1.486,162.951838019
772,1.487,163.201006786
773,1.489,163.699923902
774,1.49,163.949672212
775,1.491,164.199613662
776,1.492,164.449748233
777,1.493,164.700075906
778,1.494,164.950596659
779,1.495,165.201310473
780,1.496,165.452217328
781,1.497,165.703317203
782,1.498,165.954610079
783,1.5,166.45777475
784,1.502,166.961711179
785,1.503,167.213968752
786,1.507,168.224927618
787,1.508,168.478149376
