Station Name,model and version,XL2 S/N,,
LakeHodges_KITCARSON,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911373,,
Label,Meas Type,Slope,Offset,Equation
Flow_cfs,2/6/2020,23:35:00,27.83,G
FlowVolume,2/6/2020,23:35:00,1669.6,G
PT Level,2/6/2020,23:36:00,3.58,G
PT Level,2/6/2020,23:37:00,3.58,G
PT Level,2/6/2020,23:38:00,3.58,G
PT Level,2/6/2020,23:39:00,3.58,G
PT Level,2/6/2020,23:40:00,3.58,G
Flow_cfs,2/6/2020,23:40:00,27.83,G
FlowVolume,2/6/2020,23:40:00,1669.6,G
PT Level,2/6/2020,23:41:00,3.58,G
PT Level,2/6/2020,23:42:00,3.58,G
PT Level,2/6/2020,23:43:00,3.58,G
PT Level,2/6/2020,23:44:00,3.58,G
PT Level,2/6/2020,23:45:00,3.58,G
Flow_cfs,2/6/2020,23:45:00,27.83,G
FlowVolume,2/6/2020,23:45:00,1669.6,G
PT Level,2/6/2020,23:46:00,3.58,G
PT Level,2/6/2020,23:47:00,3.58,G
PT Level,2/6/2020,23:48:00,3.58,G
PT Level,2/6/2020,23:49:00,3.58,G
PT Level,2/6/2020,23:50:00,3.58,G
Flow_cfs,2/6/2020,23:50:00,27.83,G
FlowVolume,2/6/2020,23:50:00,1669.6,G
PT Level,2/6/2020,23:51:00,3.58,G
PT Level,2/6/2020,23:52:00,3.58,G
PT Level,2/6/2020,23:53:00,3.58,G
PT Level,2/6/2020,23:54:00,3.58,G
PT Level,2/6/2020,23:55:00,3.58,G
Flow_cfs,2/6/2020,23:55:00,27.83,G
FlowVolume,2/6/2020,23:55:00,1669.6,G
PT Level,2/6/2020,23:56:00,3.58,G
PT Level,2/6/2020,23:57:00,3.58,G
PT Level,2/6/2020,23:58:00,3.58,G
PT Level,2/6/2020,23:59:00,3.58,G
PT Level,2/7/2020,0:00:00,3.58,G
Flow_cfs,2/7/2020,0:00:00,27.83,G
FlowVolume,2/7/2020,0:00:00,1669.6,G
PT Level,2/7/2020,0:01:00,3.58,G
PT Level,2/7/2020,0:02:00,3.58,G
PT Level,2/7/2020,0:03:00,3.58,G
PT Level,2/7/2020,0:04:00,3.58,G
PT Level,2/7/2020,0:05:00,3.58,G
Flow_cfs,2/7/2020,0:05:00,27.83,G
FlowVolume,2/7/2020,0:05:00,1669.6,G
PT Level,2/7/2020,0:06:00,3.58,G
PT Level,2/7/2020,0:07:00,3.58,G
PT Level,2/7/2020,0:08:00,3.58,G
PT Level,2/7/2020,0:09:00,3.58,G
PT Level,2/7/2020,0:10:00,3.58,G
Flow_cfs,2/7/2020,0:10:00,27.83,G
FlowVolume,2/7/2020,0:10:00,1669.6,G
PT Level,2/7/2020,0:11:00,3.58,G
PT Level,2/7/2020,0:12:00,3.58,G
PT Level,2/7/2020,0:13:00,3.62,G
PT Level,2/7/2020,0:14:00,3.62,G
PT Level,2/7/2020,0:15:00,3.62,G
Flow_cfs,2/7/2020,0:15:00,28.22,G
