Date Time,Level_950,Vel_950,Flow_950,Level_PT,Flow_PT
MM/dd/yyyy hh:mm:ss,in,fps,gpm,in,gpm
05/10/2021 13:54:00,0.00,0.00,0.000,1.03,133.781
05/10/2021 13:55:00,0.00,0.00,0.000,1.06,140.454
05/10/2021 13:56:00,0.00,0.00,0.000,1.08,144.903
05/10/2021 13:57:00,0.00,0.00,0.000,1.09,147.127
05/10/2021 13:58:00,0.00,0.00,0.000,1.10,149.352
05/10/2021 13:59:00,0.00,0.00,0.000,1.13,156.025
05/10/2021 14:00:00,0.00,0.00,0.000,1.16,162.698
05/10/2021 14:01:00,0.00,0.00,0.000,1.18,167.146
05/10/2021 14:02:00,0.00,0.00,0.000,1.20,171.595
05/10/2021 14:03:00,0.00,0.00,0.000,1.21,174.290
05/10/2021 14:04:00,0.00,0.00,0.000,1.21,174.290
05/10/2021 14:05:00,0.00,0.00,0.000,1.22,176.985
05/10/2021 14:06:00,0.00,0.00,0.000,1.26,187.764
05/10/2021 14:07:00,0.00,0.00,0.000,1.27,190.459
05/10/2021 14:08:00,0.00,0.00,0.000,1.27,190.459
05/10/2021 14:09:00,0.00,0.00,0.000,1.31,201.239
05/10/2021 14:10:00,0.00,0.00,0.000,1.30,198.544
05/10/2021 14:11:00,0.00,0.00,0.000,1.32,203.933
05/10/2021 14:12:00,0.00,0.00,0.000,1.35,212.018
05/10/2021 14:13:00,0.00,0.00,0.000,1.36,214.713
05/10/2021 14:14:00,0.00,0.00,0.000,1.34,209.323
05/10/2021 14:15:00,0.00,0.00,0.000,1.35,212.018
05/10/2021 14:16:00,0.00,0.00,0.000,1.30,198.544
05/10/2021 14:17:00,0.00,0.00,0.000,1.26,187.764
05/10/2021 14:18:00,0.00,0.00,0.000,1.28,193.154
05/10/2021 14:19:00,0.00,0.00,0.000,1.28,193.154
05/10/2021 14:20:00,0.00,0.00,0.000,1.29,195.849
05/10/2021 14:21:00,0.00,0.00,0.000,1.36,214.713
05/10/2021 14:22:00,0.00,0.00,0.000,1.41,228.187
05/10/2021 14:23:00,0.00,0.00,0.000,1.44,236.272
05/10/2021 14:24:00,0.00,0.00,0.000,1.44,236.272
05/10/2021 14:25:00,0.00,0.00,0.000,1.43,233.577
05/10/2021 14:26:00,0.00,0.00,0.000,1.43,233.577
05/10/2021 14:27:00,0.00,0.00,0.000,1.35,212.018
05/10/2021 14:28:00,0.00,0.00,0.000,1.35,212.018
05/10/2021 14:29:00,0.00,0.00,0.000,1.36,214.713
05/10/2021 14:30:00,0.00,0.00,0.000,1.31,201.239
05/10/2021 14:31:00,0.00,0.00,0.000,1.39,222.797
05/10/2021 14:32:00,0.00,0.00,0.000,1.32,203.933
05/10/2021 14:33:00,0.00,0.00,0.000,1.36,214.713
05/10/2021 14:34:00,0.00,0.00,0.000,1.39,222.797
05/10/2021 14:35:00,0.00,0.00,0.000,1.40,225.492
05/10/2021 14:36:00,0.00,0.00,0.000,1.40,225.492
05/10/2021 14:37:00,0.00,0.00,0.000,1.37,217.408
05/10/2021 14:38:00,0.00,0.00,0.000,1.36,214.713
05/10/2021 14:39:00,0.00,0.00,0.000,1.36,214.713
05/10/2021 14:40:00,0.00,0.00,0.000,1.34,209.323
05/10/2021 14:41:00,0.00,0.00,0.000,1.34,209.323
05/10/2021 14:42:00,0.00,0.00,0.000,1.36,214.713
05/10/2021 14:43:00,0.00,0.00,0.000,1.41,228.187
05/10/2021 14:44:00,0.00,0.00,0.000,1.41,228.187
05/10/2021 14:45:00,0.00,0.00,0.000,1.43,233.577
05/10/2021 14:46:00,0.00,0.00,0.000,1.49,249.746
05/10/2021 14:47:00,0.00,0.00,0.000,1.52,258.762
05/10/2021 14:48:00,0.00,0.00,0.000,1.55,268.243
05/10/2021 14:49:00,0.00,0.00,0.000,1.56,271.403
05/10/2021 14:50:00,0.00,0.00,0.000,1.58,277.723
05/10/2021 14:51:00,0.00,0.00,0.000,1.57,274.563
05/10/2021 14:52:00,0.00,0.00,0.000,1.58,277.723
05/10/2021 14:53:00,0.00,0.00,0.000,1.62,290.365
05/10/2021 14:54:00,0.00,0.00,0.000,1.62,290.365
05/10/2021 14:55:00,0.00,0.00,0.000,1.64,296.685
05/10/2021 14:56:00,0.00,0.00,0.000,1.62,290.365
05/10/2021 14:57:00,0.00,0.00,0.000,1.66,303.006
05/10/2021 14:58:00,0.00,0.00,0.000,1.67,306.166
05/10/2021 14:59:00,0.00,0.00,0.000,1.70,315.647
05/10/2021 15:00:00,0.00,0.00,0.000,1.67,306.166
05/10/2021 15:01:00,0.00,0.00,0.000,1.63,293.525
05/10/2021 15:02:00,0.00,0.00,0.000,1.64,296.685
05/10/2021 15:03:00,0.00,0.00,0.000,1.62,290.365
05/10/2021 15:04:00,0.00,0.00,0.000,1.60,284.044
05/10/2021 15:05:00,0.00,0.00,0.000,1.62,290.365
05/10/2021 15:06:00,0.00,0.00,0.000,1.60,284.044
