Date Time,Level_950,Vel_950,Flow_950,Level_PT,Flow _PT
MM/dd/yyyy hh:mm:ss,in,fps,cfs,in,cfs
02/06/2021 00:55:00,0.99,0.00,0.000,1.38,0.246
02/06/2021 01:00:00,0.99,0.00,0.000,1.40,0.252
02/06/2021 01:05:00,1.03,0.00,0.000,1.36,0.239
02/06/2021 01:10:00,0.99,0.00,0.000,1.36,0.239
02/06/2021 01:15:00,0.99,0.00,0.000,1.37,0.243
02/06/2021 01:20:00,0.99,0.00,0.000,1.38,0.246
02/06/2021 01:25:00,0.99,0.00,0.000,1.37,0.243
02/06/2021 01:30:00,0.94,0.00,0.000,1.37,0.243
02/06/2021 01:35:00,0.99,0.00,0.000,1.37,0.243
02/06/2021 01:40:00,0.99,0.00,0.000,1.38,0.246
02/06/2021 01:45:00,0.99,0.00,0.000,1.37,0.243
02/06/2021 01:50:00,0.94,0.00,0.000,1.35,0.236
02/06/2021 01:55:00,0.99,0.00,0.000,1.39,0.249
02/06/2021 02:00:00,0.99,0.00,0.000,1.40,0.252
02/06/2021 02:05:00,0.99,0.00,0.000,1.39,0.249
02/06/2021 02:10:00,0.99,0.00,0.000,1.39,0.249
02/06/2021 02:15:00,1.03,0.00,0.000,1.41,0.255
02/06/2021 02:20:00,0.99,0.00,0.000,1.37,0.243
02/06/2021 02:25:00,0.99,0.00,0.000,1.38,0.246
02/06/2021 02:30:00,0.99,0.00,0.000,1.38,0.246
02/06/2021 02:35:00,1.03,0.00,0.000,1.39,0.249
02/06/2021 02:40:00,0.99,0.00,0.000,1.39,0.249
02/06/2021 02:45:00,0.90,0.00,0.000,1.40,0.252
02/06/2021 02:50:00,1.03,0.00,0.000,1.40,0.252
02/06/2021 02:55:00,0.99,0.00,0.000,1.40,0.252
02/06/2021 03:00:00,0.99,0.00,0.000,1.37,0.243
02/06/2021 03:05:00,1.07,0.00,0.000,1.54,0.296
02/06/2021 03:10:00,1.07,0.00,0.000,1.50,0.284
02/06/2021 03:15:00,1.07,0.00,0.000,1.44,0.265
02/06/2021 03:20:00,0.94,0.00,0.000,1.43,0.262
02/06/2021 03:25:00,1.07,0.00,0.000,1.48,0.277
02/06/2021 03:30:00,0.99,0.00,0.000,1.42,0.258
02/06/2021 03:35:00,0.99,0.00,0.000,1.40,0.252
02/06/2021 03:40:00,0.99,0.00,0.000,1.46,0.271
02/06/2021 03:45:00,1.16,0.00,0.000,1.56,0.303
02/06/2021 03:50:00,1.11,0.00,0.000,1.49,0.281
02/06/2021 03:55:00,1.03,0.00,0.000,1.47,0.274
02/06/2021 04:00:00,0.99,0.00,0.000,1.44,0.265
02/06/2021 04:05:00,0.99,0.00,0.000,1.41,0.255
02/06/2021 04:10:00,0.99,0.00,0.000,1.41,0.255
02/06/2021 04:15:00,0.99,0.00,0.000,1.40,0.252
02/06/2021 04:20:00,0.99,0.00,0.000,1.38,0.246
02/06/2021 04:25:00,0.99,0.00,0.000,1.40,0.252
02/06/2021 04:30:00,0.94,0.00,0.000,1.41,0.255
