Station Name,model and version,XL2 S/N,,,
LakeHodges_DELDIOS,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911381,,,
Label,Meas Type,Slope,Offset,Equation,
10/26/2020,15:00:00,Curr_pacing,320000,,G
10/26/2020,15:00:00,FlowVolume,0,,G
10/26/2020,15:05:00,PT Level,3.22,in,G
10/26/2020,15:05:00,Aliquot_Num,0,ali,G
10/26/2020,15:05:00,Flow_cfs,0.4,,G
10/26/2020,15:05:00,Curr_pacing,320000,,G
10/26/2020,15:05:00,FlowVolume,0,,G
10/26/2020,15:10:00,PT Level,3.23,in,G
10/26/2020,15:10:00,Flow_cfs,0.4,,G
10/26/2020,15:10:00,Aliquot_Num,0,ali,G
10/26/2020,15:10:00,Curr_pacing,320000,,G
10/26/2020,15:10:00,FlowVolume,0,,G
10/26/2020,15:15:00,PT Level,3.21,in,G
10/26/2020,15:15:00,Aliquot_Num,0,ali,G
10/26/2020,15:15:00,Flow_cfs,0.39,,G
10/26/2020,15:15:00,Curr_pacing,320000,,G
10/26/2020,15:15:00,FlowVolume,0,,G
10/26/2020,15:20:00,PT Level,3.21,in,G
10/26/2020,15:20:00,Flow_cfs,0.39,,G
10/26/2020,15:20:00,Aliquot_Num,0,ali,G
10/26/2020,15:20:00,Curr_pacing,320000,,G
10/26/2020,15:20:00,FlowVolume,0,,G
10/26/2020,15:25:00,PT Level,3.2,in,G
10/26/2020,15:25:00,Aliquot_Num,0,ali,G
10/26/2020,15:25:00,Flow_cfs,0.39,,G
10/26/2020,15:25:00,Curr_pacing,320000,,G
10/26/2020,15:25:00,FlowVolume,0,,G
10/26/2020,15:30:00,PT Level,3.21,in,G
10/26/2020,15:30:00,Aliquot_Num,0,ali,G
10/26/2020,15:30:00,Flow_cfs,0.39,,G
10/26/2020,15:30:00,Curr_pacing,320000,,G
10/26/2020,15:30:00,FlowVolume,0,,G
10/26/2020,15:35:00,PT Level,3.2,in,G
10/26/2020,15:35:00,Aliquot_Num,0,ali,G
10/26/2020,15:35:00,Flow_cfs,0.39,,G
10/26/2020,15:35:00,Curr_pacing,320000,,G
10/26/2020,15:35:00,FlowVolume,0,,G
10/26/2020,15:40:00,PT Level,3.2,in,G
10/26/2020,15:40:00,Aliquot_Num,0,ali,G
10/26/2020,15:40:00,Flow_cfs,0.39,,G
10/26/2020,15:40:00,Curr_pacing,320000,,G
10/26/2020,15:40:00,FlowVolume,0,,G
10/26/2020,15:45:00,PT Level,3.2,in,G
10/26/2020,15:45:00,Flow_cfs,0.39,,G
10/26/2020,15:45:00,Aliquot_Num,0,ali,G
10/26/2020,15:45:00,Curr_pacing,320000,,G
10/26/2020,15:45:00,FlowVolume,0,,G
10/26/2020,15:50:00,PT Level,3.19,in,G
10/26/2020,15:50:00,Aliquot_Num,0,ali,G
10/26/2020,15:50:00,Flow_cfs,0.39,,G
10/26/2020,15:50:00,Curr_pacing,320000,,G
10/26/2020,15:50:00,FlowVolume,0,,G
10/26/2020,15:55:00,PT Level,3.17,in,G
10/26/2020,15:55:00,Aliquot_Num,0,ali,G
10/26/2020,15:55:00,Flow_cfs,0.38,,G
10/26/2020,15:55:00,Curr_pacing,320000,,G
10/26/2020,15:55:00,FlowVolume,0,,G
10/26/2020,16:00:00,PT Level,3.18,in,G
10/26/2020,16:00:00,Flow_cfs,0.38,,G
10/26/2020,16:00:00,Aliquot_Num,0,ali,G
10/26/2020,16:00:00,Curr_pacing,320000,,G
10/26/2020,16:00:00,FlowVolume,0,,G
10/26/2020,16:05:00,PT Level,3.17,in,G
10/26/2020,16:05:00,Aliquot_Num,0,ali,G
10/26/2020,16:05:00,Flow_cfs,0.38,,G
10/26/2020,16:05:00,Curr_pacing,320000,,G
10/26/2020,16:05:00,FlowVolume,0,,G
10/26/2020,16:10:00,PT Level,3.18,in,G
10/26/2020,16:10:00,Flow_cfs,0.38,,G
10/26/2020,16:10:00,Aliquot_Num,0,ali,G
10/26/2020,16:10:00,Curr_pacing,320000,,G
10/26/2020,16:10:00,FlowVolume,0,,G
10/26/2020,16:15:00,PT Level,3.17,in,G
10/26/2020,16:15:00,Aliquot_Num,0,ali,G
10/26/2020,16:15:00,Flow_cfs,0.38,,G
10/26/2020,16:15:00,Curr_pacing,320000,,G
10/26/2020,16:15:00,FlowVolume,0,,G
10/26/2020,16:20:00,PT Level,3.17,in,G
10/26/2020,16:20:00,Flow_cfs,0.38,,G
10/26/2020,16:20:00,Aliquot_Num,0,ali,G
10/26/2020,16:20:00,Curr_pacing,320000,,G
10/26/2020,16:20:00,FlowVolume,0,,G
10/26/2020,16:25:00,PT Level,3.17,in,G
10/26/2020,16:25:00,Aliquot_Num,0,ali,G
10/26/2020,16:25:00,Flow_cfs,0.38,,G
10/26/2020,16:25:00,Curr_pacing,320000,,G
10/26/2020,16:25:00,FlowVolume,0,,G
10/26/2020,16:30:00,PT Level,3.17,in,G
10/26/2020,16:30:00,Aliquot_Num,0,ali,G
10/26/2020,16:30:00,Flow_cfs,0.38,,G
10/26/2020,16:30:00,Curr_pacing,320000,,G
10/26/2020,16:30:00,FlowVolume,0,,G
10/26/2020,16:35:00,PT Level,3.16,in,G
10/26/2020,16:35:00,Flow_cfs,0.38,,G
10/26/2020,16:35:00,Aliquot_Num,0,ali,G
10/26/2020,16:35:00,Curr_pacing,320000,,G
10/26/2020,16:35:00,FlowVolume,0,,G
10/26/2020,16:40:00,PT Level,3.17,in,G
10/26/2020,16:40:00,Aliquot_Num,0,ali,G
10/26/2020,16:40:00,Flow_cfs,0.38,,G
10/26/2020,16:40:00,Curr_pacing,320000,,G
10/26/2020,16:40:00,FlowVolume,0,,G
10/26/2020,16:45:00,PT Level,3.17,in,G
10/26/2020,16:45:00,Flow_cfs,0.38,,G
10/26/2020,16:45:00,Aliquot_Num,0,ali,G
10/26/2020,16:45:00,Curr_pacing,320000,,G
10/26/2020,16:45:00,FlowVolume,0,,G
10/26/2020,16:50:00,PT Level,3.15,in,G
10/26/2020,16:50:00,Aliquot_Num,0,ali,G
10/26/2020,16:50:00,Flow_cfs,0.38,,G
10/26/2020,16:50:00,Curr_pacing,320000,,G
10/26/2020,16:50:00,FlowVolume,0,,G
10/26/2020,16:55:00,PT Level,3.15,in,G
10/26/2020,16:55:00,Aliquot_Num,0,ali,G
10/26/2020,16:55:00,Flow_cfs,0.38,,G
10/26/2020,16:55:00,Curr_pacing,320000,,G
10/26/2020,16:55:00,FlowVolume,0,,G
10/26/2020,17:00:00,PT Level,3.18,in,G
10/26/2020,17:00:00,Flow_cfs,0.38,,G
10/26/2020,17:00:00,Aliquot_Num,0,ali,G
10/26/2020,17:00:00,Curr_pacing,320000,,G
10/26/2020,17:00:00,FlowVolume,0,,G
10/26/2020,17:05:00,PT Level,3.17,in,G
10/26/2020,17:05:00,Aliquot_Num,0,ali,G
10/26/2020,17:05:00,Flow_cfs,0.38,,G
10/26/2020,17:05:00,Curr_pacing,320000,,G
10/26/2020,17:05:00,FlowVolume,0,,G
10/26/2020,17:10:00,PT Level,3.15,in,G
10/26/2020,17:10:00,Flow_cfs,0.38,,G
10/26/2020,17:10:00,Aliquot_Num,0,ali,G
10/26/2020,17:10:00,Curr_pacing,320000,,G
10/26/2020,17:10:00,FlowVolume,0,,G
10/26/2020,17:15:00,PT Level,3.17,in,G
10/26/2020,17:15:00,Aliquot_Num,0,ali,G
10/26/2020,17:15:00,Flow_cfs,0.38,,G
10/26/2020,17:15:00,Curr_pacing,320000,,G
10/26/2020,17:15:00,FlowVolume,0,,G
10/26/2020,17:20:00,PT Level,3.17,in,G
10/26/2020,17:20:00,Flow_cfs,0.38,,G
10/26/2020,17:20:00,Aliquot_Num,0,ali,G
10/26/2020,17:20:00,Curr_pacing,320000,,G
10/26/2020,17:20:00,FlowVolume,0,,G
10/26/2020,17:25:00,PT Level,3.17,in,G
10/26/2020,17:25:00,Aliquot_Num,0,ali,G
10/26/2020,17:25:00,Flow_cfs,0.38,,G
10/26/2020,17:25:00,Curr_pacing,320000,,G
10/26/2020,17:25:00,FlowVolume,0,,G
10/26/2020,17:30:00,PT Level,3.17,in,G
10/26/2020,17:30:00,Aliquot_Num,0,ali,G
10/26/2020,17:30:00,Flow_cfs,0.38,,G
10/26/2020,17:30:00,Curr_pacing,320000,,G
10/26/2020,17:30:00,FlowVolume,0,,G
10/26/2020,17:35:00,PT Level,3.17,in,G
10/26/2020,17:35:00,Flow_cfs,0.38,,G
10/26/2020,17:35:00,Aliquot_Num,0,ali,G
10/26/2020,17:35:00,Curr_pacing,320000,,G
10/26/2020,17:35:00,FlowVolume,0,,G
10/26/2020,17:40:00,PT Level,3.17,in,G
10/26/2020,17:40:00,Aliquot_Num,0,ali,G
10/26/2020,17:40:00,Flow_cfs,0.38,,G
10/26/2020,17:40:00,Curr_pacing,320000,,G
10/26/2020,17:40:00,FlowVolume,0,,G
10/26/2020,17:45:00,PT Level,3.17,in,G
10/26/2020,17:45:00,Flow_cfs,0.38,,G
10/26/2020,17:45:00,Aliquot_Num,0,ali,G
10/26/2020,17:45:00,Curr_pacing,320000,,G
10/26/2020,17:45:00,FlowVolume,0,,G
10/26/2020,17:50:00,PT Level,3.18,in,G
10/26/2020,17:50:00,Aliquot_Num,0,ali,G
10/26/2020,17:50:00,Flow_cfs,0.38,,G
10/26/2020,17:50:00,Curr_pacing,320000,,G
10/26/2020,17:50:00,FlowVolume,0,,G
10/26/2020,17:55:00,PT Level,3.19,in,G
10/26/2020,17:55:00,Aliquot_Num,0,ali,G
10/26/2020,17:55:00,Flow_cfs,0.39,,G
10/26/2020,17:55:00,Curr_pacing,320000,,G
10/26/2020,17:55:00,FlowVolume,0,,G
10/26/2020,18:00:00,PT Level,3.19,in,G
10/26/2020,18:00:00,Flow_cfs,0.39,,G
10/26/2020,18:00:00,Aliquot_Num,0,ali,G
10/26/2020,18:00:00,Curr_pacing,320000,,G
10/26/2020,18:00:00,FlowVolume,0,,G
10/26/2020,18:05:00,PT Level,3.2,in,G
10/26/2020,18:05:00,Aliquot_Num,0,ali,G
10/26/2020,18:05:00,Flow_cfs,0.39,,G
10/26/2020,18:05:00,Curr_pacing,320000,,G
10/26/2020,18:05:00,FlowVolume,0,,G
10/26/2020,18:10:00,PT Level,3.18,in,G
10/26/2020,18:10:00,Flow_cfs,0.38,,G
10/26/2020,18:10:00,Aliquot_Num,0,ali,G
10/26/2020,18:10:00,Curr_pacing,320000,,G
10/26/2020,18:10:00,FlowVolume,0,,G
10/26/2020,18:15:00,PT Level,3.18,in,G
10/26/2020,18:15:00,Aliquot_Num,0,ali,G
10/26/2020,18:15:00,Flow_cfs,0.38,,G
10/26/2020,18:15:00,Curr_pacing,320000,,G
10/26/2020,18:15:00,FlowVolume,0,,G
10/26/2020,18:20:00,PT Level,3.2,in,G
10/26/2020,18:20:00,Flow_cfs,0.39,,G
10/26/2020,18:20:00,Aliquot_Num,0,ali,G
10/26/2020,18:20:00,Curr_pacing,320000,,G
10/26/2020,18:20:00,FlowVolume,0,,G
10/26/2020,18:25:00,PT Level,3.18,in,G
10/26/2020,18:25:00,Aliquot_Num,0,ali,G
10/26/2020,18:25:00,Flow_cfs,0.38,,G
10/26/2020,18:25:00,Curr_pacing,320000,,G
10/26/2020,18:25:00,FlowVolume,0,,G
10/26/2020,18:30:00,PT Level,3.18,in,G
10/26/2020,18:30:00,Aliquot_Num,0,ali,G
10/26/2020,18:30:00,Flow_cfs,0.38,,G
10/26/2020,18:30:00,Curr_pacing,320000,,G
10/26/2020,18:30:00,FlowVolume,0,,G
10/26/2020,18:35:00,PT Level,3.2,in,G
10/26/2020,18:35:00,Flow_cfs,0.39,,G
10/26/2020,18:35:00,Aliquot_Num,0,ali,G
10/26/2020,18:35:00,Curr_pacing,320000,,G
10/26/2020,18:35:00,FlowVolume,0,,G
10/26/2020,18:40:00,PT Level,3.2,in,G
10/26/2020,18:40:00,Aliquot_Num,0,ali,G
10/26/2020,18:40:00,Flow_cfs,0.39,,G
10/26/2020,18:40:00,Curr_pacing,320000,,G
10/26/2020,18:40:00,FlowVolume,0,,G
10/26/2020,18:45:00,PT Level,3.18,in,G
10/26/2020,18:45:00,Flow_cfs,0.38,,G
10/26/2020,18:45:00,Aliquot_Num,0,ali,G
10/26/2020,18:45:00,Curr_pacing,320000,,G
10/26/2020,18:45:00,FlowVolume,0,,G
10/26/2020,18:50:00,PT Level,3.2,in,G
10/26/2020,18:50:00,Aliquot_Num,0,ali,G
10/26/2020,18:50:00,Flow_cfs,0.39,,G
10/26/2020,18:50:00,Curr_pacing,320000,,G
10/26/2020,18:50:00,FlowVolume,0,,G
10/26/2020,18:55:00,PT Level,3.21,in,G
10/26/2020,18:55:00,Aliquot_Num,0,ali,G
10/26/2020,18:55:00,Flow_cfs,0.39,,G
10/26/2020,18:55:00,Curr_pacing,320000,,G
10/26/2020,18:55:00,FlowVolume,0,,G
