Date,Time,PT Level,PT Flow cfs,Level_950,Vel_950,Flow_950,Curr_pacing,FlowVolume,Aliquot_Num,Battery_950
MM/dd/yyyy,hh:mm:ss,in,cfs,in,fps,cfs,,,ali,V
11/06/2020,02:35:00,1.99,0.485,-99999.00,0.13,0.00,0.00,0.00,0,
11/06/2020,02:40:00,1.98,0.480,-99999.00,0.14,0.00,0.00,0.00,0,
11/06/2020,02:45:00,1.97,0.475,-99999.00,0.14,0.00,0.00,0.00,0,
11/06/2020,02:50:00,1.98,0.480,-99999.00,0.14,0.00,0.00,0.00,0,
11/06/2020,02:55:00,2.05,0.520,-99999.00,0.02,1.07,0.00,0.00,0,
11/06/2020,03:00:00,2.12,0.560,1.20,0.00,0.00,0.00,0.00,0,12.78
11/06/2020,03:05:00,2.15,0.575,-99999.00,0.00,1.24,0.00,0.00,0,
11/06/2020,03:10:00,2.13,0.565,-99999.00,0.17,0.00,0.00,0.00,0,
11/06/2020,03:15:00,2.08,0.538,-99999.00,0.00,1.07,0.00,0.00,0,
11/06/2020,03:20:00,2.04,0.514,-99999.00,0.00,1.16,0.00,0.00,0,
11/06/2020,03:25:00,2.03,0.508,-99999.00,0.15,0.00,0.00,0.00,0,
11/06/2020,03:30:00,2.00,0.490,-99999.00,0.00,1.11,0.00,0.00,0,
11/06/2020,03:35:00,2.00,0.490,-99999.00,0.14,0.00,0.00,0.00,0,
11/06/2020,03:40:00,2.01,0.496,-99999.00,0.12,0.00,0.00,0.00,0,
11/06/2020,03:45:00,2.07,0.532,-99999.00,-99999.00,1.20,0.00,0.00,0,
11/06/2020,03:50:00,2.01,0.496,-99999.00,0.00,0.00,0.00,0.00,0,
11/06/2020,03:55:00,2.02,0.502,-99999.00,0.00,1.11,0.00,0.00,0,
11/06/2020,04:00:00,2.02,0.502,1.03,0.00,0.00,0.00,0.00,0,12.78
11/06/2020,04:05:00,2.28,0.648,-99999.00,-99999.00,1.33,0.00,0.00,0,
11/06/2020,04:10:00,2.18,0.590,-99999.00,-99999.00,1.29,0.00,0.00,0,
11/06/2020,04:15:00,2.04,0.514,-99999.00,0.02,1.20,0.00,0.00,0,
11/06/2020,04:20:00,2.04,0.514,-99999.00,0.00,1.16,0.00,0.00,0,
11/06/2020,04:25:00,2.03,0.508,-99999.00,0.15,0.00,0.00,0.00,0,
11/06/2020,04:30:00,2.01,0.496,-99999.00,0.14,0.00,0.00,0.00,0,
11/06/2020,04:35:00,1.99,0.485,-99999.00,0.00,1.11,0.00,0.00,0,
11/06/2020,04:40:00,1.97,0.475,-99999.00,0.00,1.03,0.00,0.00,0,
11/06/2020,04:45:00,1.96,0.470,-99999.00,0.14,0.00,0.00,0.00,0,
11/06/2020,04:50:00,1.95,0.465,-99999.00,0.00,1.11,0.00,0.00,0,
11/06/2020,04:55:00,1.95,0.465,-99999.00,0.14,0.00,0.00,0.00,0,
11/06/2020,05:00:00,1.98,0.480,1.11,0.00,0.00,0.00,0.00,0,12.77
11/06/2020,05:05:00,1.97,0.475,-99999.00,0.00,1.16,0.00,0.00,0,
11/06/2020,05:10:00,1.96,0.470,-99999.00,0.00,1.03,0.00,0.00,0,
11/06/2020,05:15:00,1.99,0.485,-99999.00,0.12,0.00,0.00,0.00,0,
11/06/2020,05:20:00,2.08,0.538,-99999.00,0.02,1.20,0.00,0.00,0,
11/06/2020,05:25:00,2.19,0.595,-99999.00,0.20,0.00,0.00,0.00,0,
11/06/2020,05:30:00,2.18,0.590,-99999.00,-99999.00,1.24,0.00,0.00,0,
11/06/2020,05:35:00,2.15,0.575,-99999.00,0.05,1.33,0.00,0.00,0,
11/06/2020,05:40:00,2.32,0.674,-99999.00,-99999.00,1.41,0.00,0.00,0,
11/06/2020,05:45:00,2.17,0.585,-99999.00,-99999.00,1.33,0.00,0.00,0,
11/06/2020,05:50:00,2.05,0.520,-99999.00,0.02,1.20,0.00,0.00,0,
11/06/2020,05:55:00,2.05,0.520,-99999.00,-99999.00,1.07,0.00,0.00,0,
11/06/2020,06:00:00,2.00,0.490,1.16,0.04,12.75,0.00,0.00,0,-99999.00
11/06/2020,06:05:00,2.46,0.766,0.06,-99999.00,-99999.00,0.00,0.00,0,
11/06/2020,06:10:00,2.49,0.784,1.54,0.00,-99999.00,0.00,0.00,0,
11/06/2020,06:15:00,2.50,0.790,1.63,0.00,-99999.00,0.00,0.00,0,
11/06/2020,06:20:00,2.54,0.818,-99999.00,0.00,-99999.00,0.00,0.00,0,
11/06/2020,06:25:00,2.31,0.667,0.05,0.02,-99999.00,0.00,0.00,0,
11/06/2020,06:30:00,2.14,0.570,1.33,0.00,0.00,0.00,0.00,0,
11/06/2020,06:35:00,2.05,0.520,1.16,0.00,0.00,0.00,0.00,0,
11/06/2020,06:40:00,2.07,0.532,0.03,0.02,-99999.00,0.00,0.00,0,
11/06/2020,06:45:00,2.04,0.514,1.16,0.00,0.00,0.00,0.00,0,
11/06/2020,06:50:00,1.98,0.480,1.11,0.00,0.00,0.00,0.00,0,
11/06/2020,06:55:00,1.96,0.470,1.03,0.00,0.00,0.00,0.00,0,
11/06/2020,07:00:00,1.92,0.450,1.07,0.00,0.00,0.00,0.00,0,12.83
11/06/2020,07:05:00,1.94,0.460,1.03,0.00,0.00,0.00,0.00,0,
11/06/2020,07:10:00,1.94,0.460,1.07,0.00,0.00,0.00,0.00,0,
11/06/2020,07:15:00,1.92,0.450,1.07,0.00,0.00,0.00,0.00,0,
11/06/2020,07:20:00,1.96,0.470,1.07,0.00,0.00,0.00,0.00,0,
11/06/2020,07:25:00,1.97,0.475,1.07,0.00,0.00,0.00,0.00,0,
11/06/2020,07:30:00,1.95,0.465,1.07,0.00,0.00,0.00,0.00,0,
11/06/2020,07:35:00,1.92,0.450,1.07,0.00,0.00,0.00,0.00,0,
11/06/2020,07:40:00,1.93,0.455,1.07,0.00,0.00,0.00,0.00,0,
11/06/2020,07:45:00,1.92,0.450,1.03,0.00,0.00,0.00,0.00,0,
11/06/2020,07:50:00,1.92,0.450,0.99,0.00,0.00,0.00,0.00,0,
11/06/2020,07:55:00,1.92,0.450,1.07,0.00,0.00,0.00,0.00,0,
11/06/2020,08:00:00,1.92,0.450,1.07,0.00,0.00,0.00,0.00,0,13.08
11/06/2020,08:05:00,1.89,0.435,1.07,0.00,0.00,0.00,0.00,0,
11/06/2020,08:10:00,1.92,0.450,1.07,0.00,0.00,0.00,0.00,0,
11/06/2020,08:15:00,1.92,0.450,0.99,0.00,0.00,0.00,0.00,0,
11/06/2020,08:20:00,1.92,0.450,1.03,0.00,0.00,0.00,0.00,0,
11/06/2020,08:25:00,1.90,0.440,1.03,0.00,0.00,0.00,0.00,0,
11/06/2020,08:30:00,1.89,0.435,2.46,0.00,0.00,0.00,0.00,0,
11/06/2020,08:35:00,1.89,0.435,1.07,0.00,0.00,0.00,0.00,0,
11/06/2020,08:40:00,1.92,0.450,1.03,0.00,0.00,0.00,0.00,0,
11/06/2020,08:45:00,1.91,0.445,1.03,0.00,0.00,0.00,0.00,0,
11/06/2020,08:50:00,1.89,0.435,1.07,0.00,0.00,0.00,0.00,0,
11/06/2020,08:55:00,1.91,0.445,1.03,0.00,0.00,0.00,0.00,0,
11/06/2020,09:00:00,1.92,0.450,1.07,0.00,0.00,0.00,0.00,0,13.13
11/06/2020,09:05:00,1.91,0.445,1.07,0.00,0.00,0.00,0.00,0,
11/06/2020,09:10:00,1.91,0.445,1.03,0.00,0.00,0.00,0.00,0,
11/06/2020,09:15:00,1.92,0.450,1.03,0.00,0.00,0.00,0.00,0,
11/06/2020,09:20:00,1.94,0.460,1.03,0.00,0.00,0.00,0.00,0,
11/06/2020,09:25:00,1.91,0.445,1.03,0.00,0.00,0.00,0.00,0,
11/06/2020,09:30:00,1.91,0.445,0.99,0.00,0.00,0.00,0.00,0,
11/06/2020,09:35:00,1.92,0.450,1.07,0.00,0.00,0.00,0.00,0,
11/06/2020,09:40:00,1.91,0.445,0.94,0.00,0.00,0.00,0.00,0,
11/06/2020,09:45:00,1.92,0.450,1.07,0.00,0.00,0.00,0.00,0,
11/06/2020,09:50:00,1.92,0.450,0.99,0.00,0.00,0.00,0.00,0,
11/06/2020,09:55:00,1.93,0.455,1.07,0.00,0.00,0.00,0.00,0,
11/06/2020,10:00:00,1.91,0.445,1.07,0.00,0.00,0.00,0.00,0,13.23
11/06/2020,10:05:00,1.92,0.450,-99999.00,0.13,0.00,0.00,0.00,0,
11/06/2020,10:10:00,1.92,0.450,-99999.00,0.00,1.07,0.00,0.00,0,
11/06/2020,10:15:00,1.93,0.455,-99999.00,0.00,1.07,0.00,0.00,0,
