Date Time,Level_950,Vel_950,Flow_950,Level_PT,Flow _PT
MM/dd/yyyy hh:mm:ss,in,fps,gpm,in,gpm
02/17/2021 16:30:00,0.13,0.34,0.372,1.26,111.015
02/17/2021 16:35:00,0.43,0.31,2.192,1.32,125.368
02/17/2021 16:40:00,0.26,0.31,1.025,1.26,111.015
02/17/2021 16:45:00,0.43,0.30,2.073,1.26,111.015
02/17/2021 16:50:00,0.34,0.38,1.921,1.41,144.933
02/17/2021 16:55:00,0.30,0.29,1.209,1.44,151.998
02/17/2021 17:00:00,0.43,0.26,1.814,1.36,133.701
02/17/2021 17:05:00,0.43,0.40,2.766,1.25,109.094
02/17/2021 17:10:00,0.26,0.33,1.085,1.40,142.578
02/17/2021 17:15:00,0.47,0.33,2.678,1.39,140.223
02/17/2021 17:20:00,0.39,0.28,1.695,1.37,135.785
02/17/2021 17:25:00,0.13,0.41,0.454,1.33,127.451
02/17/2021 17:30:00,0.13,0.40,0.435,1.31,122.976
02/17/2021 17:35:00,0.43,0.32,2.248,1.41,144.933
02/17/2021 17:40:00,0.47,0.41,3.267,1.30,120.584
02/17/2021 17:45:00,0.43,0.31,2.192,1.33,127.451
02/17/2021 17:50:00,0.13,0.41,0.452,1.44,151.998
02/17/2021 17:55:00,0.13,0.43,0.476,1.37,135.785
02/17/2021 18:00:00,0.47,0.30,2.404,1.40,142.578
02/17/2021 18:05:00,0.39,0.40,2.372,1.45,154.353
02/17/2021 18:10:00,0.30,0.33,1.350,1.33,127.451
02/17/2021 18:15:00,0.13,0.32,0.358,1.31,122.976
02/17/2021 18:20:00,0.47,0.29,2.307,1.27,113.407
02/17/2021 18:25:00,0.47,0.33,2.646,1.45,154.353
02/17/2021 18:30:00,0.13,0.28,0.308,1.44,151.998
02/17/2021 18:35:00,0.22,0.38,0.960,1.32,125.368
02/17/2021 18:40:00,0.34,0.43,2.173,1.35,131.618
02/17/2021 18:45:00,0.39,0.45,2.677,1.33,127.451
02/17/2021 18:50:00,0.43,0.26,1.842,1.32,125.368
02/17/2021 18:55:00,0.30,0.43,1.791,1.30,120.584
02/17/2021 19:00:00,0.30,0.36,1.482,1.34,129.535
02/17/2021 19:05:00,0.43,0.37,2.577,1.44,151.998
02/17/2021 19:10:00,0.30,0.32,1.333,1.30,120.584
02/17/2021 19:15:00,0.13,0.29,0.318,1.31,122.976
02/17/2021 19:20:00,0.39,0.33,1.970,1.31,122.976
02/17/2021 19:25:00,0.26,0.30,0.996,1.34,129.535
02/17/2021 19:30:00,0.26,0.24,0.786,1.31,122.976
02/17/2021 19:35:00,0.13,0.28,0.306,1.33,127.451
02/17/2021 19:40:00,0.13,0.33,0.363,1.33,127.451
02/17/2021 19:45:00,0.13,0.29,0.317,1.32,125.368
02/17/2021 19:50:00,0.13,0.30,0.329,1.36,133.701
02/17/2021 19:55:00,0.13,0.30,0.329,1.42,147.288
02/17/2021 20:00:00,0.13,0.32,0.358,1.37,135.785
02/17/2021 20:05:00,0.13,0.29,0.316,1.34,129.535
02/17/2021 20:10:00,0.13,0.28,0.310,1.32,125.368
02/17/2021 20:15:00,0.13,0.30,0.328,1.34,129.535
02/17/2021 20:20:00,0.13,0.27,0.302,1.31,122.976
02/17/2021 20:25:00,0.13,0.27,0.302,1.41,144.933
02/17/2021 20:30:00,0.13,0.26,0.292,1.30,120.584
02/17/2021 20:35:00,0.26,0.36,1.196,1.36,133.701
02/17/2021 20:40:00,0.13,0.27,0.299,1.31,122.976
02/17/2021 20:45:00,0.13,0.37,0.406,1.37,135.785
02/17/2021 20:50:00,0.13,0.28,0.304,1.30,120.584
02/17/2021 20:55:00,0.13,0.31,0.347,1.33,127.451
02/17/2021 21:00:00,0.26,0.41,1.357,1.36,133.701
02/17/2021 21:05:00,0.13,0.34,0.371,1.34,129.535
02/17/2021 21:10:00,0.39,0.29,1.761,1.28,115.799
02/17/2021 21:15:00,0.26,0.31,1.022,1.28,115.799
02/17/2021 21:20:00,0.43,0.30,2.094,1.29,118.192
02/17/2021 21:25:00,0.13,0.26,0.287,1.30,120.584
02/17/2021 21:30:00,0.43,0.45,3.137,1.41,144.933
02/17/2021 21:35:00,0.34,0.31,1.544,1.36,133.701
02/17/2021 21:40:00,0.13,0.29,0.321,1.38,137.868
02/17/2021 21:45:00,0.13,0.32,0.348,1.42,147.288
